alcohol,density
9.2,0.994
11.4,0.9936
8.7,0.99786
9.1,0.9936
11.3,0.9904
9.8,0.99699
9.5,0.9958
9,0.99773
9,0.99772
10.4,0.9926
11.2,0.9904
10.8,0.99365
11.4,0.99044
9,0.9989
9.7,0.9946
10,0.9932
9,0.9978
8.9,0.9979
11.3,0.9918
9.1,0.99336
10.1,0.9944
10.2,0.99348
12.2,0.99122
10.4,0.99454
11,0.9914
12,0.99193
12,0.9924
9.4,0.9948
12.5,0.9888
9.5,0.997
10.5,0.99508
12.5,0.9902
10.5,0.99382
8.8,0.99807
12.3,0.99024
10.5,0.99523
12.5,0.99151
10.2,0.9928
13,0.99
10,0.99388
9.2,1.00051
12.4,0.9895
10.8,0.9923
11.2,0.99082
9.5,0.9952
8.8,0.99908
9.8,0.99438
9.7,0.9966
11.8,0.9923
13.8,0.98889
9.4,0.9954
9.1,0.9983
9.2,0.99804
12.2,0.99021
10,0.99243
9.4,0.9993
9,0.99792
8.6,0.9999
8.7,0.9976
9.3,0.99545
11.9,0.9936
9.2,0.9968
8.7,1.0002
8.6,0.9966
10.5,0.99144
9.2,0.99318
11.7,0.98949
10.7,0.9962
9,0.9959
11.3,0.99146
12.7,0.9898
10,0.9933
13,0.98919
10,0.99383
9.8,0.99232
11,0.99096
8.9,0.9961
10.8,0.99402
11.4,0.9914
9.2,0.99344
10.5,0.9918
8.7,0.9936
9.5,0.99784
10.2,0.99166
12.2,0.98944
9,0.9951
12.5,0.9916
10.5,0.99184
9.1,0.99571
11.3,0.99135
9.2,0.9964
11.4,0.9925
12.1,0.99258
10.5,0.99546
10.2,0.995
10.8,0.99299
11.5,0.9928
12.4,0.98962
11.5,0.99335
10.1,0.9934
9.2,0.9956
10.2,0.99289
8.9,0.99862
11.5,0.99084
11,0.9922
9.5,0.9968
11.4,0.99047
10.1,0.9948
9.5,0.99551
10.4,0.99587
13.9,0.98936
9.7,0.9952
8.9,0.9986
9.6,0.99767
12.6,0.9896
11.9,0.99004
9.9,0.9968
10.6,0.99246
11,0.9966
9.9,0.9939
12,0.9944
13.7,0.9907
12.4,0.98914
9,0.99449
9.4,0.9963
9,0.99758
11,0.9939
11,0.99096
9.2,0.9952
9.4,0.99548
10.1,0.99555
10.6,0.9927
9.2,0.9989
11,1.0001
10.2,0.9942
11.5,0.9928
12.8,0.9895
12.1,0.99254
10.6,1.00295
9.4,0.99552
10.4,0.992
9.4,0.9965
10.1,0.9944
10.2,0.99532
9,0.99625
10.1,0.99352
10.9,0.994
10.5,0.9928
9.5,0.99784
9.9,0.9937
11.5,0.9924
11.3,0.99165
9.6,0.9948
9.8,0.99438
9.5,0.99784
10,0.99725
11.8,0.99035
9,0.9951
9.3,0.99658
10.6,0.99397
9.4,0.9933
11.05,0.99043
11,0.9924
9.5,0.9969
11.5,0.9947
9.1,0.9986
9.4,0.9974
11.9,0.99093
9.9,0.9976
8.9,0.9958
10,0.992
9.5,0.99402
11,0.99268
10.9,0.99406
12,0.991
13,0.98912
10.9,0.9926
12.3,0.98952
9.2,0.9956
10.9,0.9911
11.2,0.992
9.2,0.99804
10.1,0.99155
9,0.9958
11.1,0.99127
9.8,0.9927
9.9,0.9958
11.6,0.9911
9.8,0.99434
9.8,0.9954
13.1,0.98964
9.5,0.9956
11.5,0.9912
9.5,0.99542
8.8,0.99924
11.5,0.99206
11.2,0.99174
13,0.99088
12.3,0.98926
10.4,0.99726
