fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,6
6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,5
6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4
7.5,0.38,0.56,9.7,0.055,15,170,0.99605,3.13,0.65,9.9,6
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6
7.9,0.35,0.28,12.9,0.032,13,63,0.9932,2.99,0.43,13,6
8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,7
6,0.2,0.33,1.1,0.039,45,126,0.99051,3.31,0.45,11.6,7
6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,6
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6
6.1,0.16,0.37,1.1,0.031,37,97,0.9922,3.4,0.58,10.5,6
7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5
7.5,0.33,0.36,2.6,0.051,26,126,0.99097,3.32,0.53,12.7,6
7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5
7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,5
7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,7
5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7
7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1,5
6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8
7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,7
7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
6,0.24,0.34,1,0.036,52,184,0.99097,3.44,0.44,11.45,6
9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4
6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9,5
5.9,0.23,0.24,3.8,0.038,61,152,0.99139,3.31,0.5,11.3,7
5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,6
6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9,5
5.5,0.375,0.38,1.7,0.036,17,98,0.99142,3.29,0.39,10.5,6
6.6,0.27,0.29,5.3,0.045,57,189,0.9953,3.31,0.79,9.8,5
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6
7.6,0.18,0.46,10.2,0.055,58,135,0.9968,3.14,0.43,9.9,6
5.4,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6
5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,7
6.2,0.2,0.26,9.7,0.03,39,102,0.9908,3.08,0.56,12.9,7
6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,7
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6
8,0.18,0.37,1.3,0.04,15,96,0.9912,3.06,0.61,12.1,6
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4
7.8,0.25,0.41,3.7,0.042,37,149,0.9954,3.36,0.45,10,6
6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,6
7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,6
6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6
7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5
6.8,0.25,0.34,4.7,0.031,34,134,0.9927,3.21,0.38,10.6,6
7.2,0.5,0,0.8,0.034,46,114,0.9932,3.19,0.34,9.2,4
6.4,0.38,0.26,8.2,0.043,28,98,0.99234,2.99,0.31,11.4,6
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7
7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,6
8.7,0.3,0.34,4.8,0.018,23,127,0.99474,3.12,0.49,11.2,7
6,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,6
7,0.35,0.24,1.9,0.04,21,144,0.9923,3.35,0.38,11,5
6.1,0.31,0.34,2.8,0.042,59.5,162,0.99179,3.27,0.47,10.8,6
